date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:52	753888/753888	---M--	200	added ('OK')	image/jpeg	etag:%222af264fe5c038bdb1313717c153a9102%22	https://images-pw.pixieset.com/sample_photos/sample-279_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-279_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:30:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:54%20GMT	http://images-pw.pixieset.com/sample_photos/sample-169_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-169_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:30:54	44877/44877	---M--	200	added ('OK')	image/jpeg	etag:%22bc3346483f2f34ade2d8436a118c0168%22	https://images-pw.pixieset.com/sample_photos/sample-266_XS.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-266_XS.jpg	(from https://guruphotography.mypixieset.com/about/)
12:30:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:00:56%20GMT	http://images-pw.pixieset.com/sample_photos/sample-165_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-165_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:31:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:01:00%20GMT	http://images-pw.pixieset.com/sample_photos/sample-180_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-180_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:31:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:01:07%20GMT	http://images-pw.pixieset.com/sample_photos/sample-280_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-280_XL.jpg	(from https://guruphotography.mypixieset.com/portfolio/)
12:33:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:02:03%20GMT	http://images-pw.pixieset.com/sample_photos/sample-263_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-263_LG.2d.delayed	(from https://guruphotography.mypixieset.com/portfolio/)
12:33:01	324481/324481	---M--	200	added ('OK')	image/jpeg	etag:%22d697d981335bc81a2b8596d9aa2d18f6%22	https://images-pw.pixieset.com/sample_photos/sample-180_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-180_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:33:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:03:02%20GMT	http://images-pw.pixieset.com/sample_photos/sample-274_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-274_LG.2f.delayed	(from https://guruphotography.mypixieset.com/portfolio/)
12:37:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:04:58%20GMT	http://images-pw.pixieset.com/sample_photos/sample-268_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-268_LG.31.delayed	(from https://guruphotography.mypixieset.com/portfolio/)
12:37:15	293447/293447	---M--	200	added ('OK')	image/jpeg	etag:%2235b1efc98ac067030f2e307c4c2cc988%22	https://images-pw.pixieset.com/sample_photos/sample-263_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-263_LG.jpg	(from https://guruphotography.mypixieset.com/portfolio/)
12:37:16	1637605/1637605	---M--	200	added ('OK')	image/jpeg	etag:%22d78592aa4653a2a80a749b38a68999c0%22	https://images-pw.pixieset.com/sample_photos/sample-169_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-169_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:37:18	2067260/2067260	---M--	200	added ('OK')	image/jpeg	etag:%226191ba84dfdeb6a00281f6a25de735a4%22	https://images-pw.pixieset.com/sample_photos/sample-165_XL.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-165_XL.jpg	(from https://guruphotography.mypixieset.com/about/)
12:37:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:20%20GMT	http://images-pw.pixieset.com/sample_photos/sample-271_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-271_LG.33.delayed	(from https://guruphotography.mypixieset.com/portfolio/)
12:37:23	433965/433965	---M--	200	added ('OK')	image/jpeg	etag:%22bcf33e115a8cfe8476b4b545d565c728%22	https://images-pw.pixieset.com/sample_photos/sample-268_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-268_LG.jpg	(from https://guruphotography.mypixieset.com/portfolio/)
12:37:24	495139/495139	---M--	200	added ('OK')	image/jpeg	etag:%22e996e2e00853b92b65415509e2d2c91f%22	https://images-pw.pixieset.com/sample_photos/sample-271_LG.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/sample_photos/sample-271_LG.jpg	(from https://guruphotography.mypixieset.com/portfolio/)
12:37:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:25%20GMT	http://images-pw.pixieset.com/elementfield/741547311/IMG_9547-d5acd4d6-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9547-d5acd4d6-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:33	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:28%20GMT	http://images-pw.pixieset.com/elementfield/741547311/IMG_9551-271b5625-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9551-271b5625-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:33	294028/294028	---M--	200	added ('OK')	image/jpeg	etag:%226ba548ec8bbd2f7e4366c69d9692b18f%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9547-e503325b-1500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9547-e503325b-1500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:33	668792/668792	---M--	200	added ('OK')	image/jpeg	etag:%2222a811a8e5dbee96778c4bf304df5c9a%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9547-d5acd4d6-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9547-d5acd4d6-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:34%20GMT	http://images-pw.pixieset.com/elementfield/741547311/IMG_9828-e4a4b533-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9828-e4a4b533-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:37%20GMT	http://images-pw.pixieset.com/elementfield/741547311/IMG_9660-470e15f0-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9660-470e15f0-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:42	837658/837658	---M--	200	added ('OK')	image/jpeg	etag:%227974074b09bdc181289070f690e1c5a3%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9551-271b5625-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9551-271b5625-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:43%20GMT	http://images-pw.pixieset.com/elementfield/741547311/IMG_9562-f07f8987-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9562-f07f8987-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:46	1204290/1204290	---M--	200	added ('OK')	image/jpeg	etag:%22a9f30e690c84bc34b46fb8f9c647d28d%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9828-e4a4b533-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9828-e4a4b533-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:47	580659/580659	---M--	200	added ('OK')	image/jpeg	etag:%2211ff15fc67edd23c14e7309869c5e220%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9660-470e15f0-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9660-470e15f0-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:47%20GMT	http://images-pw.pixieset.com/elementfield/741547311/IMG_9715-b5b99703-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9715-b5b99703-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:51%20GMT	http://images-pw.pixieset.com/elementfield/741547311/IMG_9830-161337c0-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9830-161337c0-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
